"fecha","ejecutadocoesmw","ejecutadoseinmw","programadocoesmw","programadoseinmw","eje_progmw","eje_progseinmw"
"2020-02-02 00:00:00",5707.972589999999,5707.97259,5859.963239999999,5859.963239999999,-151.99064999999973,-151.99064999999882
"2020-02-02 00:30:00",5700.41771,5700.417710000001,5717.974169999998,5717.974169999998,-17.55645999999797,-17.55645999999706
"2020-02-02 01:00:00",5618.63176,5618.631760000003,5644.238329999998,5644.238329999998,-25.6065699999981,-25.606569999995372
"2020-02-02 01:30:00",5427.49291,5427.49291,5573.999019999999,5573.999019999999,-146.50610999999935,-146.50610999999935
"2020-02-02 02:00:00",5366.1430199999995,5366.14302,5488.479339999999,5488.479339999999,-122.33631999999943,-122.33631999999852
"2020-02-02 02:30:00",5398.673169999999,5398.673170000004,5432.15907,5432.15907,-33.48590000000058,-33.485899999996036
"2020-02-02 03:00:00",5325.30778,5325.307780000001,5388.7948,5388.7948,-63.487019999999575,-63.487019999998665
"2020-02-02 03:30:00",5348.816389999999,5348.81639,5351.111919999999,5351.111919999999,-2.2955300000003263,-2.2955299999994168
"2020-02-02 04:00:00",5337.7496200000005,5337.7496200000005,5333.555079999999,5333.555079999999,4.194540000001325,4.194540000001325
"2020-02-02 04:30:00",5241.234579999999,5241.234580000001,5364.665129999999,5364.665129999999,-123.43055000000004,-123.43054999999822
"2020-02-02 05:00:00",5344.451719999999,5344.451719999998,5348.73464,5348.73464,-4.2829200000005585,-4.282920000001468
"2020-02-02 05:30:00",5150.00327,5150.003269999999,5219.50941,5219.50941,-69.5061399999995,-69.50614000000041
"2020-02-02 06:00:00",4945.369710000001,4945.36971,5111.748430000001,5111.748430000001,-166.3787199999997,-166.3787200000006
"2020-02-02 06:30:00",4944.7753,4944.775299999999,5049.1515899999995,5049.1515899999995,-104.37628999999924,-104.37629000000015
"2020-02-02 07:00:00",5026.806169999999,5026.806169999997,5163.517019999999,5163.517019999999,-136.7108500000004,-136.7108500000022
"2020-02-02 07:30:00",5133.372909999999,5133.372909999999,5160.20371,5160.20371,-26.830800000000636,-26.830800000000636
"2020-02-02 08:00:00",5280.48264,5280.48264,5319.777389999999,5319.777389999999,-39.29474999999911,-39.29474999999911
"2020-02-02 08:30:00",5286.03954,5286.039539999999,5458.77568,5458.77568,-172.73613999999998,-172.7361400000009
"2020-02-02 09:00:00",5408.91262,5408.91262,5551.70276,5551.70276,-142.79014000000006,-142.79014000000006
"2020-02-02 09:30:00",5532.136639999999,5532.136639999998,5638.84964,5638.84964,-106.71300000000156,-106.71300000000247
"2020-02-02 10:00:00",5548.47422,5548.474219999999,5690.29898,5690.29898,-141.82475999999951,-141.82476000000042
"2020-02-02 10:30:00",5671.7071000000005,5671.7071000000005,5686.094279999999,5686.094279999999,-14.387179999998807,-14.387179999998807
"2020-02-02 11:00:00",5752.77627,5752.776270000002,5785.8526999999995,5785.8526999999995,-33.076429999999164,-33.076429999997345
"2020-02-02 11:30:00",5773.38094,5773.38094,5799.312049999998,5799.312049999998,-25.931109999997716,-25.931109999997716
"2020-02-02 12:00:00",5737.628790000001,5737.628790000002,5777.571689999999,5777.571689999999,-39.94289999999819,-39.94289999999728
"2020-02-02 12:30:00",5716.17862,5716.178620000002,5743.34469,5743.34469,-27.166070000000218,-27.16606999999749
"2020-02-02 13:00:00",5686.2657,5686.2657,5721.288570000001,5721.288570000001,-35.022870000000694,-35.022870000000694
"2020-02-02 13:30:00",5741.00907,5741.009070000001,5730.090990000001,5730.090990000001,10.918079999999463,10.918080000000373
"2020-02-02 14:00:00",5706.176119999999,5706.176119999999,5752.182339999999,5752.182339999999,-46.00622000000021,-46.00622000000021
"2020-02-02 14:30:00",5627.57928,5627.579279999999,5725.416379999999,5725.416379999999,-97.83709999999883,-97.83709999999974
"2020-02-02 15:00:00",5629.280139999999,5629.280140000002,5720.43041,5720.43041,-91.150270000001,-91.15026999999827
"2020-02-02 15:30:00",5699.8013599999995,5699.8013599999995,5714.200690000001,5714.200690000001,-14.3993300000011,-14.3993300000011
"2020-02-02 16:00:00",5550.64871,5550.64871,5697.22141,5697.22141,-146.5726999999997,-146.5726999999997
"2020-02-02 16:30:00",5707.19223,5707.19223,5679.90799,5679.90799,27.284239999999954,27.284239999999954
"2020-02-02 17:00:00",5731.2385699999995,5731.238570000001,5721.355259999998,5721.355259999998,9.883310000001075,9.883310000002894
"2020-02-02 17:30:00",5750.613900000001,5750.6139,5825.636579999999,5825.636579999999,-75.02267999999822,-75.02267999999913
"2020-02-02 18:00:00",5966.24221,5966.242209999999,6029.796679999997,6029.796679999997,-63.5544699999964,-63.55446999999731
"2020-02-02 18:30:00",6385.50029,6385.500289999997,6465.026369999997,6465.026369999997,-79.52607999999691,-79.52607999999964
"2020-02-02 19:00:00",6458.913100000001,6458.913100000001,6608.636939999998,6608.636939999998,-149.72383999999693,-149.72383999999693
"2020-02-02 19:30:00",6486.4468400000005,6486.446839999999,6636.704269999998,6636.704269999998,-150.25742999999784,-150.25742999999966
"2020-02-02 20:00:00",6495.250239999999,6495.250239999999,6573.9364099999975,6573.9364099999975,-78.68616999999813,-78.68616999999813
"2020-02-02 20:30:00",6536.63109,6536.631090000001,6534.476129999997,6534.476129999997,2.154960000002575,2.1549600000034843
"2020-02-02 21:00:00",6357.9864800000005,6357.98648,6501.287969999998,6501.287969999998,-143.3014899999971,-143.301489999998
"2020-02-02 21:30:00",6289.934550000001,6289.934549999996,6399.962779999998,6399.962779999998,-110.02822999999717,-110.02823000000171
"2020-02-02 22:00:00",6111.11098,6111.110979999998,6194.008429999997,6194.008429999997,-82.89744999999675,-82.89744999999948
"2020-02-02 22:30:00",5939.0853,5939.085300000001,6016.155529999997,6016.155529999997,-77.07022999999754,-77.07022999999663
